task_id,mode,conf,overlap_density_tier
HardSynthetic.HardCase035,M,0.875,low
HardSynthetic.HardCase029,M,1.0,low
HardSynthetic.HardCase036,M,0.875,high
HardSynthetic.HardCase041,M,0.875,medium
HardSynthetic.HardCase039,M,0.875,high
HardSynthetic.HardCase040,M,0.875,low
HardSynthetic.HardCase037,M,0.9583333333333334,low
HardSynthetic.HardCase014,M,0.875,low
HardSynthetic.HardCase038,M,0.875,high
HardSynthetic.HardCase048,M,0.875,low
HardSynthetic.HardCase042,M,0.875,high
HardSynthetic.HardCase046,M,0.875,low
HardSynthetic.HardCase034,M,0.9583333333333334,low
HardSynthetic.HardCase043,M,0.875,medium
HardSynthetic.HardCase044,M,0.875,low
HardSynthetic.HardCase047,M,0.9583333333333334,low
HardSynthetic.HardCase049,M,1.0,low
HardSynthetic.HardCase053,M,0.875,high
HardSynthetic.HardCase051,M,0.875,low
HardSynthetic.HardCase058,M,0.875,low
HardSynthetic.HardCase054,M,0.875,medium
HardSynthetic.HardCase059,M,0.9583333333333334,low
HardSynthetic.HardCase050,M,0.875,high
HardSynthetic.HardCase052,M,0.875,medium
HardSynthetic.HardCase061,M,0.875,high
HardSynthetic.HardCase062,M,0.875,low
HardSynthetic.HardCase057,M,0.875,high
HardSynthetic.HardCase056,M,0.875,low
HardSynthetic.HardCase063,M,0.9583333333333334,low
HardSynthetic.HardCase067,M,0.875,medium
HardSynthetic.HardCase060,M,0.875,medium
HardSynthetic.HardCase068,M,0.875,medium
HardSynthetic.HardCase045,M,0.875,low
HardSynthetic.HardCase069,M,0.875,medium
HardSynthetic.HardCase073,M,0.875,low
HardSynthetic.HardCase075,M,0.875,high
HardSynthetic.HardCase055,M,0.875,low
HardSynthetic.HardCase064,M,0.875,medium
HardSynthetic.HardCase066,M,0.875,medium
HardSynthetic.HardCase070,M,0.8571428571428571,high
HardSynthetic.HardCase065,M,0.875,high
HardSynthetic.HardCase077,M,0.875,medium
HardSynthetic.HardCase078,M,0.875,low
HardSynthetic.HardCase080,M,0.875,low
HardSynthetic.HardCase071,M,0.875,medium
HardSynthetic.HardCase079,M,0.875,medium
HardSynthetic.HardCase085,M,0.875,medium
HardSynthetic.HardCase081,M,0.875,high
HardSynthetic.HardCase072,M,0.875,medium
HardSynthetic.HardCase084,M,0.875,medium
HardSynthetic.HardCase086,M,0.875,high
HardSynthetic.HardCase076,M,1.0,low
HardSynthetic.HardCase074,M,1.0,low
HardSynthetic.HardCase087,M,0.875,medium
HardSynthetic.HardCase088,M,1.0,low
HardSynthetic.HardCase082,M,0.875,low
HardSynthetic.HardCase091,M,0.9583333333333334,low
HardSynthetic.HardCase096,M,0.875,medium
HardSynthetic.HardCase095,M,0.875,high
HardSynthetic.HardCase097,M,0.875,high
HardSynthetic.HardCase098,M,0.9583333333333334,low
HardSynthetic.HardCase099,M,0.875,high
HardSynthetic.HardCase101,M,0.8571428571428571,high
HardSynthetic.HardCase103,M,0.875,low
HardSynthetic.HardCase089,M,0.875,low
HardSynthetic.HardCase105,M,0.8571428571428571,high
HardSynthetic.HardCase104,M,0.875,medium
HardSynthetic.HardCase092,M,0.875,high
HardSynthetic.HardCase083,M,0.875,high
HardSynthetic.HardCase100,M,0.875,high
HardSynthetic.HardCase110,M,0.875,medium
HardSynthetic.HardCase107,M,1.0,low
HardSynthetic.HardCase094,M,0.9583333333333334,low
HardSynthetic.HardCase111,M,0.9583333333333334,low
HardSynthetic.HardCase115,M,0.875,low
HardSynthetic.HardCase090,M,0.875,medium
HardSynthetic.HardCase106,M,0.9583333333333334,low
HardSynthetic.HardCase116,M,0.875,high
HardSynthetic.HardCase121,M,0.875,high
