mode,attempt,conf,task_id,source
M,3,0.0,HardSynthetic.HardCase043,attempt_history
M,1,0.0,HardSynthetic.HardCase044,attempt_history
M,2,0.0,HardSynthetic.HardCase044,attempt_history
M,3,0.0,HardSynthetic.HardCase044,attempt_history
M,1,0.0,HardSynthetic.HardCase047,attempt_history
M,2,0.0,HardSynthetic.HardCase047,attempt_history
M,3,0.0,HardSynthetic.HardCase047,attempt_history
M,1,0.0,HardSynthetic.HardCase049,attempt_history
M,2,0.0,HardSynthetic.HardCase049,attempt_history
M,3,0.0,HardSynthetic.HardCase049,attempt_history
M,1,0.0,HardSynthetic.HardCase053,attempt_history
M,2,0.0,HardSynthetic.HardCase053,attempt_history
M,3,0.0,HardSynthetic.HardCase053,attempt_history
M,1,0.0,HardSynthetic.HardCase051,attempt_history
M,2,0.0,HardSynthetic.HardCase051,attempt_history
M,3,0.0,HardSynthetic.HardCase051,attempt_history
M,1,0.0,HardSynthetic.HardCase058,attempt_history
M,2,0.0,HardSynthetic.HardCase058,attempt_history
M,3,0.0,HardSynthetic.HardCase058,attempt_history
M,1,0.0,HardSynthetic.HardCase054,attempt_history
M,2,0.0,HardSynthetic.HardCase054,attempt_history
M,3,0.0,HardSynthetic.HardCase054,attempt_history
M,1,0.0,HardSynthetic.HardCase059,attempt_history
M,2,0.0,HardSynthetic.HardCase059,attempt_history
M,3,0.0,HardSynthetic.HardCase059,attempt_history
M,1,0.0,HardSynthetic.HardCase050,attempt_history
M,2,0.0,HardSynthetic.HardCase050,attempt_history
M,3,0.0,HardSynthetic.HardCase050,attempt_history
M,1,0.0,HardSynthetic.HardCase052,attempt_history
M,2,0.0,HardSynthetic.HardCase052,attempt_history
M,3,0.0,HardSynthetic.HardCase052,attempt_history
M,1,0.0,HardSynthetic.HardCase061,attempt_history
M,2,0.0,HardSynthetic.HardCase061,attempt_history
M,3,0.0,HardSynthetic.HardCase061,attempt_history
M,1,0.0,HardSynthetic.HardCase062,attempt_history
M,2,0.0,HardSynthetic.HardCase062,attempt_history
M,3,0.0,HardSynthetic.HardCase062,attempt_history
M,1,0.0,HardSynthetic.HardCase057,attempt_history
M,2,0.0,HardSynthetic.HardCase057,attempt_history
M,3,0.0,HardSynthetic.HardCase057,attempt_history
M,1,0.0,HardSynthetic.HardCase056,attempt_history
M,2,0.0,HardSynthetic.HardCase056,attempt_history
M,3,0.0,HardSynthetic.HardCase056,attempt_history
M,1,0.0,HardSynthetic.HardCase063,attempt_history
M,2,0.0,HardSynthetic.HardCase063,attempt_history
M,3,0.0,HardSynthetic.HardCase063,attempt_history
M,1,0.0,HardSynthetic.HardCase067,attempt_history
M,2,0.0,HardSynthetic.HardCase067,attempt_history
M,3,0.0,HardSynthetic.HardCase067,attempt_history
M,1,0.0,HardSynthetic.HardCase060,attempt_history
M,2,0.0,HardSynthetic.HardCase060,attempt_history
M,3,0.0,HardSynthetic.HardCase060,attempt_history
M,1,0.0,HardSynthetic.HardCase068,attempt_history
M,2,0.0,HardSynthetic.HardCase068,attempt_history
M,3,0.0,HardSynthetic.HardCase068,attempt_history
M,1,0.0,HardSynthetic.HardCase045,attempt_history
M,2,0.0,HardSynthetic.HardCase045,attempt_history
M,3,0.0,HardSynthetic.HardCase045,attempt_history
M,1,0.0,HardSynthetic.HardCase069,attempt_history
M,2,0.0,HardSynthetic.HardCase069,attempt_history
M,3,0.0,HardSynthetic.HardCase069,attempt_history
M,1,0.0,HardSynthetic.HardCase073,attempt_history
M,2,0.0,HardSynthetic.HardCase073,attempt_history
M,3,0.0,HardSynthetic.HardCase073,attempt_history
M,1,0.0,HardSynthetic.HardCase075,attempt_history
M,2,0.0,HardSynthetic.HardCase075,attempt_history
M,3,0.0,HardSynthetic.HardCase075,attempt_history
M,1,0.0,HardSynthetic.HardCase055,attempt_history
M,2,0.0,HardSynthetic.HardCase055,attempt_history
M,3,0.0,HardSynthetic.HardCase055,attempt_history
M,1,0.0,HardSynthetic.HardCase064,attempt_history
M,2,0.0,HardSynthetic.HardCase064,attempt_history
M,3,0.0,HardSynthetic.HardCase064,attempt_history
M,1,0.0,HardSynthetic.HardCase066,attempt_history
M,2,0.0,HardSynthetic.HardCase066,attempt_history
M,3,0.0,HardSynthetic.HardCase066,attempt_history
M,1,0.0,HardSynthetic.HardCase070,attempt_history
M,2,0.0,HardSynthetic.HardCase070,attempt_history
M,3,0.0,HardSynthetic.HardCase070,attempt_history
M,1,0.0,HardSynthetic.HardCase065,attempt_history
M,2,0.0,HardSynthetic.HardCase065,attempt_history
M,3,0.0,HardSynthetic.HardCase065,attempt_history
M,1,0.0,HardSynthetic.HardCase077,attempt_history
M,2,0.0,HardSynthetic.HardCase077,attempt_history
M,3,0.0,HardSynthetic.HardCase077,attempt_history
M,1,0.0,HardSynthetic.HardCase078,attempt_history
M,2,0.0,HardSynthetic.HardCase078,attempt_history
M,3,0.0,HardSynthetic.HardCase078,attempt_history
M,1,0.0,HardSynthetic.HardCase080,attempt_history
M,2,0.0,HardSynthetic.HardCase080,attempt_history
M,3,0.0,HardSynthetic.HardCase080,attempt_history
M,1,0.0,HardSynthetic.HardCase071,attempt_history
M,2,0.0,HardSynthetic.HardCase071,attempt_history
M,3,0.0,HardSynthetic.HardCase071,attempt_history
M,1,0.0,HardSynthetic.HardCase079,attempt_history
M,2,0.0,HardSynthetic.HardCase079,attempt_history
M,3,0.0,HardSynthetic.HardCase079,attempt_history
M,1,0.0,HardSynthetic.HardCase085,attempt_history
M,2,0.0,HardSynthetic.HardCase085,attempt_history
M,3,0.0,HardSynthetic.HardCase085,attempt_history
M,1,0.0,HardSynthetic.HardCase081,attempt_history
M,2,0.0,HardSynthetic.HardCase081,attempt_history
M,3,0.0,HardSynthetic.HardCase081,attempt_history
M,1,0.0,HardSynthetic.HardCase072,attempt_history
M,2,0.0,HardSynthetic.HardCase072,attempt_history
M,3,0.0,HardSynthetic.HardCase072,attempt_history
M,1,0.0,HardSynthetic.HardCase084,attempt_history
M,2,0.0,HardSynthetic.HardCase084,attempt_history
M,3,0.0,HardSynthetic.HardCase084,attempt_history
M,1,0.0,HardSynthetic.HardCase086,attempt_history
M,2,0.0,HardSynthetic.HardCase086,attempt_history
M,3,0.0,HardSynthetic.HardCase086,attempt_history
M,1,0.0,HardSynthetic.HardCase076,attempt_history
M,2,0.0,HardSynthetic.HardCase076,attempt_history
M,3,0.0,HardSynthetic.HardCase076,attempt_history
M,1,0.0,HardSynthetic.HardCase074,attempt_history
M,2,0.0,HardSynthetic.HardCase074,attempt_history
M,1,0.0,HardSynthetic.HardCase087,attempt_history
M,2,0.0,HardSynthetic.HardCase087,attempt_history
M,3,0.0,HardSynthetic.HardCase087,attempt_history
M,1,0.0,HardSynthetic.HardCase088,attempt_history
M,2,0.0,HardSynthetic.HardCase088,attempt_history
M,3,0.0,HardSynthetic.HardCase088,attempt_history
M,1,0.0,HardSynthetic.HardCase082,attempt_history
M,2,0.0,HardSynthetic.HardCase082,attempt_history
M,3,0.0,HardSynthetic.HardCase082,attempt_history
M,1,0.0,HardSynthetic.HardCase091,attempt_history
M,2,0.0,HardSynthetic.HardCase091,attempt_history
M,3,0.0,HardSynthetic.HardCase091,attempt_history
M,1,0.0,HardSynthetic.HardCase096,attempt_history
M,2,0.0,HardSynthetic.HardCase096,attempt_history
M,3,0.0,HardSynthetic.HardCase096,attempt_history
M,1,0.0,HardSynthetic.HardCase095,attempt_history
M,2,0.0,HardSynthetic.HardCase095,attempt_history
M,3,0.0,HardSynthetic.HardCase095,attempt_history
M,1,0.0,HardSynthetic.HardCase097,attempt_history
M,2,0.0,HardSynthetic.HardCase097,attempt_history
M,3,0.0,HardSynthetic.HardCase097,attempt_history
M,1,0.0,HardSynthetic.HardCase098,attempt_history
M,2,0.0,HardSynthetic.HardCase098,attempt_history
M,3,0.0,HardSynthetic.HardCase098,attempt_history
M,1,0.0,HardSynthetic.HardCase099,attempt_history
M,2,0.0,HardSynthetic.HardCase099,attempt_history
M,3,0.0,HardSynthetic.HardCase099,attempt_history
M,1,0.0,HardSynthetic.HardCase101,attempt_history
M,2,0.0,HardSynthetic.HardCase101,attempt_history
M,3,0.0,HardSynthetic.HardCase101,attempt_history
M,1,0.0,HardSynthetic.HardCase103,attempt_history
M,2,0.0,HardSynthetic.HardCase103,attempt_history
M,3,0.0,HardSynthetic.HardCase103,attempt_history
M,1,0.0,HardSynthetic.HardCase089,attempt_history
M,2,0.0,HardSynthetic.HardCase089,attempt_history
M,3,0.0,HardSynthetic.HardCase089,attempt_history
M,1,0.0,HardSynthetic.HardCase105,attempt_history
M,2,0.0,HardSynthetic.HardCase105,attempt_history
M,3,0.0,HardSynthetic.HardCase105,attempt_history
M,1,0.0,HardSynthetic.HardCase104,attempt_history
M,2,0.0,HardSynthetic.HardCase104,attempt_history
M,3,0.0,HardSynthetic.HardCase104,attempt_history
M,1,0.0,HardSynthetic.HardCase092,attempt_history
M,2,0.0,HardSynthetic.HardCase092,attempt_history
M,3,0.0,HardSynthetic.HardCase092,attempt_history
M,1,0.0,HardSynthetic.HardCase083,attempt_history
M,2,0.0,HardSynthetic.HardCase083,attempt_history
M,3,0.0,HardSynthetic.HardCase083,attempt_history
M,1,0.0,HardSynthetic.HardCase100,attempt_history
M,2,0.0,HardSynthetic.HardCase100,attempt_history
M,3,0.0,HardSynthetic.HardCase100,attempt_history
M,1,0.0,HardSynthetic.HardCase110,attempt_history
M,2,0.0,HardSynthetic.HardCase110,attempt_history
M,3,0.0,HardSynthetic.HardCase110,attempt_history
M,1,0.0,HardSynthetic.HardCase107,attempt_history
M,2,0.0,HardSynthetic.HardCase107,attempt_history
M,1,0.0,HardSynthetic.HardCase094,attempt_history
M,2,0.0,HardSynthetic.HardCase094,attempt_history
M,3,0.0,HardSynthetic.HardCase094,attempt_history
M,1,0.0,HardSynthetic.HardCase111,attempt_history
M,2,0.0,HardSynthetic.HardCase111,attempt_history
