mode,latency_ms,strict_conformance
B2,2901.322700025048,0.8888888888888888
B2,6146.290500008035,0.8888888888888888
B2,5080.612499965355,0.8888888888888888
B2,27193.634300027043,0.0
B2,5093.343300046399,0.875
B2,23686.92559999181,0.9629629629629629
B2,4370.917199994437,0.8888888888888888
B2,22591.25719999429,0.8888888888888888
B2,3065.04399998812,0.8888888888888888
B2,41778.235999983735,0.0
B2,2786.636599979829,0.8888888888888888
B2,2830.4508000146598,0.8888888888888888
B2,23462.865500012413,0.8888888888888888
B2,5689.629300031811,0.8888888888888888
B2,3073.958099994343,0.8888888888888888
B2,18238.542500010226,0.8888888888888888
B2,3354.9196000094526,0.8888888888888888
B2,17106.63840000052,0.9629629629629629
B2,4125.820599962026,0.8888888888888888
B2,4172.275900025852,0.8888888888888888
B2,5502.815800020471,0.8888888888888888
M,1331.3868999830447,1.0
B2,3237.170399981551,0.8888888888888888
M,700.41879999917,1.0
M,855.614100000821,1.0
B2,27563.43509996077,0.8888888888888888
M,697.5689999526367,1.0
B2,32880.907399987336,0.0
M,886.9273000163957,1.0
M,839.5974999875762,1.0
B2,16559.54039999051,0.8888888888888888
M,937.668600003235,1.0
M,6919.779799995013,1.0
M,4133.7039999780245,1.0
M,5111.391199985519,1.0
M,1831.7997999838553,1.0
M,1102.0852999645285,0.5
M,4797.069299966097,0.8333333333333334
M,1154.7252999735065,1.0
M,1087.1649999753572,1.0
M,1516.4182999869809,0.8333333333333334
M,698.76270001987,1.0
M,838.1167000043206,1.0
M,3744.5062999613583,1.0
M,1869.8696999927051,1.0
M,5174.756699998397,1.0
M,1622.1127000171691,1.0
M,1383.637599996291,1.0
M,619.8791000060737,1.0
M,3232.6818000292405,1.0
M,1505.0993000040762,1.0
M,777.0733999786898,1.0
B2,28137.254900007974,0.8888888888888888
M,572.4023000220768,1.0
M,821.2983999983408,1.0
M,453.1567000085488,1.0
M,6210.003399988636,1.0
M,6188.106500019785,1.0
M,3474.8435000074096,1.0
M,7539.815899974201,0.8888888888888888
M,39557.03650001669,0.8888888888888888
M,54430.77680002898,0.8888888888888888
M,60114.72579999827,0.9629629629629629
M,7165.996299998369,0.8888888888888888
M,13715.619800030254,0.8888888888888888
